iter	RMSE
0	14.93720421
1	14.17875391
2	13.414313
3	12.74797959
4	12.17663782
5	11.6556063
6	11.10011318
7	10.72012158
8	10.33249825
9	9.852860586
10	9.491080992
11	9.146865668
12	8.795118791
13	8.557843632
14	8.260395304
15	8.008162284
16	7.809699157
17	7.599159371
18	7.383323187
19	7.196115748
20	7.023622186
21	6.833353406
22	6.697734119
23	6.544162951
24	6.406681973
25	6.259543962
26	6.132771005
27	6.038910127
28	5.912219663
29	5.830506198
30	5.725106642
31	5.626325933
32	5.544023522
33	5.483542826
34	5.397420302
35	5.343245015
36	5.300339511
37	5.245320154
38	5.189445778
39	5.148202024
40	5.107048343
41	5.038274532
42	4.987153283
43	4.95063643
44	4.917301449
45	4.880773952
46	4.833397856
47	4.804455811
48	4.778294065
49	4.758751691
50	4.72750737
51	4.683393892
52	4.656940741
53	4.618431382
54	4.586703806
55	4.567682141
56	4.536825744
57	4.500324086
58	4.479802331
59	4.473500591
60	4.446168584
61	4.434162267
62	4.419113487
63	4.389805095
64	4.383414096
65	4.36424087
66	4.345077939
67	4.317495903
68	4.297684335
69	4.273072457
70	4.240546412
71	4.223411752
72	4.209243144
73	4.196465452
74	4.18442211
75	4.178541194
76	4.15638958
77	4.145312625
78	4.131690477
79	4.119512735
80	4.115526535
81	4.107923889
82	4.102246252
83	4.098572584
84	4.096270983
85	4.075234527
86	4.049426484
87	4.045361706
88	4.034741715
89	4.026169356
90	4.009214905
91	4.004590621
92	3.98703153
93	3.979508482
94	3.957893428
95	3.937465826
96	3.916920425
97	3.910313983
98	3.901696655
99	3.899786756
