iter	Passed	Remaining
0	132	132290
1	133	66395
2	133	44405
3	134	33410
4	134	26814
5	135	22413
6	135	19277
7	136	16934
8	137	15102
9	137	13623
10	138	12426
11	138	11429
12	139	10586
13	140	9861
14	140	9229
15	141	8678
16	141	8199
17	142	7768
18	142	7382
19	143	7035
20	144	6721
21	144	6438
22	145	6201
23	146	5962
24	147	5745
25	148	5545
26	148	5357
27	149	5181
28	149	5016
29	150	4863
30	150	4718
31	151	4584
32	152	4462
33	153	4349
34	153	4241
35	154	4136
36	155	4036
37	155	3940
38	156	3848
39	156	3762
40	157	3683
41	158	3607
42	158	3536
43	159	3464
44	159	3395
45	160	3330
46	161	3267
47	161	3207
48	162	3154
49	163	3100
50	163	3049
51	164	3001
52	165	2951
53	165	2903
54	166	2857
55	166	2812
56	167	2773
57	168	2732
58	168	2694
59	169	2656
60	170	2618
61	170	2581
62	171	2546
63	171	2512
64	172	2478
65	173	2448
66	173	2418
67	174	2391
68	175	2361
69	175	2332
70	176	2304
71	176	2276
72	177	2250
73	177	2225
74	178	2201
75	179	2178
76	179	2155
77	180	2131
78	180	2110
79	181	2088
80	181	2064
81	182	2043
82	183	2025
83	184	2006
84	184	1986
85	185	1968
86	185	1949
87	186	1931
88	186	1913
89	187	1895
90	188	1880
91	189	1866
92	189	1852
93	190	1835
94	191	1819
95	191	1805
96	192	1789
97	192	1774
98	193	1760
99	194	1747
100	194	1733
101	195	1720
102	196	1707
103	196	1693
104	197	1680
105	197	1667
106	198	1654
107	198	1642
108	199	1631
109	200	1620
110	200	1608
111	201	1596
112	202	1585
113	202	1574
114	203	1562
115	203	1552
116	204	1541
117	205	1532
118	205	1522
119	206	1512
120	206	1502
121	207	1493
122	208	1483
123	208	1475
124	209	1466
125	210	1457
126	210	1449
127	211	1441
128	212	1432
129	212	1424
130	213	1415
131	214	1407
132	214	1400
133	215	1392
134	216	1384
135	216	1376
136	217	1368
137	217	1360
138	218	1352
139	218	1344
140	219	1337
141	220	1331
142	220	1324
143	221	1317
144	222	1310
145	222	1302
146	223	1295
147	223	1288
148	224	1281
149	225	1275
150	225	1270
151	226	1264
152	227	1257
153	227	1251
154	228	1244
155	228	1237
156	229	1231
157	229	1225
158	230	1220
